community,ca_x,ca
DOUGLAS,4,4
OAKLAND,2,2
FULLER PARK,5,5
GRAND BOULEVARD,1,1
KENWOOD,3,3
LINCOLN SQUARE,1,1
WASHINGTON PARK,8,8
HYDE PARK,11,11
WOODLAWN,2,2
ROGERS PARK,2,2
JEFFERSON PARK,0,0
FOREST GLEN,0,0
NORTH PARK,2,2
ALBANY PARK,4,4
PORTAGE PARK,3,3
IRVING PARK,3,3
DUNNING,1,1
MONTCLARE,2,2
BELMONT CRAGIN,1,1
WEST RIDGE,6,6
HERMOSA,0,0
AVONDALE,0,0
LOGAN SQUARE,6,6
HUMBOLDT PARK,0,0
WEST TOWN,14,14
AUSTIN,1,1
WEST GARFIELD PARK,0,0
EAST GARFIELD PARK,12,12
NEAR WEST SIDE,7,7
NORTH LAWNDALE,3,3
UPTOWN,10,10
SOUTH LAWNDALE,0,0
LOWER WEST SIDE,3,3
NEAR SOUTH SIDE,25,25
ARMOUR SQUARE,2,2
NORWOOD PARK,0,0
NEAR NORTH SIDE,14,14
LOOP,32,32
SOUTH SHORE,1,1
CHATHAM,1,1
AVALON PARK,0,0
SOUTH CHICAGO,1,1
BURNSIDE,0,0
MCKINLEY PARK,2,2
LAKE VIEW,9,9
CALUMET HEIGHTS,1,1
ROSELAND,1,1
NORTH CENTER,1,1
PULLMAN,0,0
SOUTH DEERING,1,1
EAST SIDE,2,2
WEST PULLMAN,4,4
RIVERDALE,0,0
HEGEWISCH,0,0
GARFIELD RIDGE,0,0
ARCHER HEIGHTS,0,0
BRIGHTON PARK,0,0
BRIDGEPORT,1,1
NEW CITY,6,6
WEST ELSDON,0,0
GAGE PARK,2,2
CLEARING,0,0
WEST LAWN,0,0
CHICAGO LAWN,2,2
WEST ENGLEWOOD,3,3
ENGLEWOOD,1,1
GREATER GRAND CROSSING,1,1
LINCOLN PARK,56,56
ASHBURN,1,1
AUBURN GRESHAM,3,3
BEVERLY,3,3
WASHINGTON HEIGHTS,0,0
MOUNT GREENWOOD,1,1
MORGAN PARK,2,2
OHARE,0,0
EDGEWATER,5,5
EDISON PARK,1,1
